鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉民生路,41.24,住,,,1130812,土地1建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.62,3,2,2,有,無,11550000,84555,坡道平面,15.0,590000,,RPRNMLTKQHJGFAU67CB,千悅藏馥二期B、C區,B棟07號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中正路315巷2弄,18.22,商,,,1130813,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.29,3,2,2,有,無,14300000,96707,坡道平面,25.0,1700000,,RPPNMLKLQHJGFAU66CB,三上御景,G棟1號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里二街與東里三街,27.57,住,,,1130815,土地2建物1車位0,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,86.27,2,2,1,有,無,6394500,74122,,0.0,0,,RPPNMLLLQHJGFAU76CB,卓越,1棟5H號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉昌一街205號隔壁,28.31,住,,,1130816,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.91,2,2,2,有,無,7980000,91819,,0.0,0,,RPPNMLOLQHJGFAU17DB,磬揚合靜,A1棟4樓號,
花蓮市,房地(土地+建物),花蓮縣吉安鄉太昌路428巷,24.25,,鄉村區,乙種建築用地,1130811,土地2建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.97,2,2,2,有,無,6600000,75026,,0.0,0,,RPPNMLQLQHJGFAU27CB,駿騰大展,1棟A3號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉昌隆三街,32.73,住,,,1130820,土地1建物1車位1,一層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,160.31,2,2,2,有,無,13770000,103265,坡道平面,41.49,1500000,,RPQNMLQLQHJGFAU37CB,欣悅敦峰,A棟03號,
新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,26.34,住,,,1130814,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,55.74,1,1,2,有,無,3990000,71582,,0.0,0,,RPPNMLMJRHJGFAU86DB,太魯閣讚2.0,C棟1C7號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,11.29,商,,,1130814,土地7建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.11,2,2,2,有,無,9296000,97739,坡道平面,2.0,0,本停車位屬機車停車位因購買本物件所贈所以金額為0,RPSNMLNJRHJGFAU17CB,鑫晶鑽,1A棟3FA8號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,8.74,商,,,1130815,土地7建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.91,2,2,1,有,無,9223700,99802,坡道平面,16.53,2000000,,RPTNMLNJRHJGFAU27CB,鑫晶鑽,1A棟3FA1號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.03,商,,,1130811,土地2建物1車位0,六層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,67.75,2,2,1,有,無,6250000,92251,,0.0,0,,RPRNMLQJRHJGFAU37CB,吳狄LV,6C棟6C號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.03,商,,,1130811,土地2建物1車位0,五層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,67.75,2,2,1,有,無,6200000,91513,,0.0,0,,RPSNMLQJRHJGFAU47CB,吳狄LV,5c棟5c號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.36,商,,,1130813,土地2建物1車位0,二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,70.21,2,2,1,有,無,6100000,86882,,0.0,0,,RPUNMLQJRHJGFAU67CB,吳狄LV,2C棟2C號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.56,商,,,1130813,土地2建物1車位0,二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,71.75,2,2,1,有,無,6100000,85017,,0.0,0,,RPVNMLQJRHJGFAU77CB,吳狄LV,2Ｂ棟2Ｂ號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.03,商,,,1130812,土地2建物1車位0,七層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,67.75,2,2,1,有,無,6250000,92251,,0.0,0,,RPWNMLQJRHJGFAU87CB,吳狄LV,7C棟7C號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.03,商,,,1130814,土地2建物1車位0,四層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,67.75,2,2,1,有,無,6100000,90037,,0.0,0,,RPOOMLQJRHJGFAU17CB,吳狄LV,4C棟4C號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.23,商,,,1130815,土地2建物1車位0,七層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,69.24,2,2,1,有,無,6330000,91421,,0.0,0,,RPSOMLQJRHJGFAU57CB,吳狄LV,7B棟7B號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.03,商,,,1130818,土地2建物1車位0,三層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,67.75,2,2,1,有,無,6050000,89299,,0.0,0,,RPVOMLQJRHJGFAU87CB,吳狄LV,3C棟3C號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.03,商,,,1130819,土地2建物1車位0,八層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,67.75,2,2,1,有,無,6500000,95941,,0.0,0,,RPWOMLQJRHJGFAU97CB,吳狄LV,8C棟8C號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.23,商,,,1130814,土地2建物1車位0,三層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,69.24,2,2,1,有,無,6130000,88533,,0.0,0,,RPPNMLTJRHJGFAU47CB,吳狄LV,3B棟3B號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,10.46,商,,,1130816,土地2建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,78.51,2,2,2,有,無,9000000,114635,,0.0,0,,RPQNMLTJRHJGFAU57CB,吳狄LV,12B棟12B號,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路,9.23,商,,,1130820,土地2建物1車位0,九層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,69.24,2,2,1,有,無,6570000,94887,,0.0,0,,RPRNMLTJRHJGFAU67CB,吳狄LV,9B棟9B號,
